frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,3.0,[752.8721923828125 1369.210693359375 1430.7803955078125 1982.91064453125],[973.7655639648438 1753.3370361328125 1199.7279052734375 1851.6199951171875],0.5657127499580383,OA13NRU,0.3111145284102574
1,5.0,[2197.399255504529 1154.2834361009093 2785.5587380672478 1736.5469885077243],[2407.91455078125 1551.371337890625 2576.935791015625 1638.369873046875],0.5950813293457031,MU51KSU,0.12425746087702963
1,3.0,[752.7639831240283 1369.258433009659 1430.4360742863275 1982.8931752947508],[973.757080078125 1753.3359375 1199.621337890625 1851.615234375],0.5656633973121643,OA13NRU,0.18627882884079347
2,5.0,[2201.178826552997 1163.4534368068578 2783.9074519202445 1740.8520844248317],[2411.8359375 1549.122802734375 2583.56640625 1641.9364013671875],0.586198627948761,HV51VSU,0.2040802728853928
4,3.0,[749.085033419143 1380.2561255486225 1430.1693809989072 2000.7944569770402],[963.6485595703125 1783.3861083984375 1184.638916015625 1873.4183349609375],0.4999430775642395,NA13NRU,0.46606421649012747
4,5.0,[2196.699723149971 1171.52906490807 2784.9978438981034 1751.7259831010258],[2410.735107421875 1562.9150390625 2585.170654296875 1653.1937255859375],0.42640024423599243,HU51KSU,0.21261834836401491
5,5.0,[2194.0965917855897 1174.196585820066 2789.763796847679 1755.6258839039047],[2411.282470703125 1562.439453125 2586.256591796875 1652.39111328125],0.4976136088371277,HU51VSU,0.41064859760623545
8,5.0,[2189.133004870915 1176.7713693685075 2789.446775169552 1762.0337888589881],[2416.160400390625 1575.296630859375 2587.7529296875 1653.528076171875],0.5656308531761169,MO51YSU,0.08182164199321174
9,5.0,[2190.64847308722 1175.7444645160463 2792.2372793707673 1764.4548708904745],[2414.810546875 1579.6453857421875 2589.49755859375 1661.1383056640625],0.5821935534477234,KT53YSU,0.05813567377452659
9,3.0,[737.1985843455896 1396.0504277470613 1425.6083199951076 2026.1469186279478],[939.8256225585938 1790.5682373046875 1188.2003173828125 1892.2584228515625],0.38696083426475525,NA13NRU,0.3916777197081307
12,3.0,[727.5475662833667 1404.116127360854 1422.2767061282282 2041.4148839372465],[943.5031127929688 1802.426513671875 1187.0267333984375 1903.083251953125],0.5232545733451843,NA13NRU,0.5026946152826635
